"Sample IDs","Dilutions","MPR","MS","TtT","RAF"
"54",-1,1.14878892733564,0.256824266666667,72,0.0138888888888889
"55",-1,1.13541666666667,0.249999955555556,72,0.0138888888888889
"P",-3,7.50526315789474,2.03040937777778,13.7316602316602,0.0728244060171517
"45",-1,1.08070175438596,0.246393644444444,72,0.0138888888888889
"46",-1,1.11111111111111,0.243827111111111,72,0.0138888888888889
"47",-1,1.15254237288136,0.247080888888889,72,0.0138888888888889
"48",-1,1.08580858085809,0.246424577777778,72,0.0138888888888889
"49",-1,2.80689655172414,0.787739466666667,65.5217983651226,0.0152620963549789
"50",-1,2.57046979865772,0.435495911111111,50.1555555555556,0.0199379707576429
"51",-1,1.2135593220339,0.239548,72,0.0138888888888889
"52",-1,2.42361111111111,0.449074088888889,58.6171875,0.0170598427295748
"53",-1,1.11387900355872,0.237247866666667,72,0.0138888888888889
"54",-1,1.17562724014337,0.251692488888889,72,0.0138888888888889
"55",-1,1.08098591549296,0.214397333333333,72,0.0138888888888889
"P",-3,7.49824561403509,2.47173488888889,11.2302631578947,0.0890451083772701
"45",-1,1.07326007326007,0.236060444444444,72,0.0138888888888889
"46",-1,1.15679442508711,0.238482222222222,72,0.0138888888888889
"47",-1,1.10877192982456,0.235477688888889,72,0.0138888888888889
"48",-1,2.2076124567474,0.4306036,66.585,0.0150183975369828
"49",-1,1.13356164383562,0.251141466666667,72,0.0138888888888889
"50",-1,1.06711409395973,0.238627688888889,72,0.0138888888888889
"51",-1,1.0983606557377,0.233151288888889,72,0.0138888888888889
"52",-1,3.11724137931034,0.626819911111111,43.9223549488055,0.0227674495405715
"53",-1,1.1268115942029,0.262479688888889,72,0.0138888888888889
"54",-1,1.17437722419929,0.248319644444444,72,0.0138888888888889
"55",-1,1.07317073170732,0.221447822222222,72,0.0138888888888889
"N",-3,1.12167300380228,0.211237955555556,72,0.0138888888888889
"56",-1,1.05755395683453,0.215827377777778,72,0.0138888888888889
"57",-1,1.08270676691729,0.232247466666667,72,0.0138888888888889
"58",-1,10.7194244604317,3.93605115555556,21.8222402597403,0.0458248093732565
"59",-1,1.07482993197279,0.226757377777778,72,0.0138888888888889
"60",-1,1.10752688172043,0.226204888888889,72,0.0138888888888889
"61",-1,1.07746478873239,0.220657155555556,72,0.0138888888888889
"62",-1,1.08363636363636,0.219798,72,0.0138888888888889
"63",-1,1.1021897810219,0.214111911111111,72,0.0138888888888889
"64",-1,1.08,0.202020133333333,72,0.0138888888888889
"65",-1,1.03597122302158,0.199840088888889,72,0.0138888888888889
"66",-1,1.05434782608696,0.186795288888889,72,0.0138888888888889
"N",-3,1.10545454545455,0.195555555555556,72,0.0138888888888889
"56",-1,1.13090909090909,0.234343422222222,72,0.0138888888888889
"57",-1,1.09352517985612,0.212629822222222,72,0.0138888888888889
"58",-1,4.94274809160305,1.62680235555556,29.8937246963563,0.0334518368037921
"59",-1,1.1063829787234,0.230102311111111,72,0.0138888888888889
"60",-1,4.3758865248227,1.16469657777778,41.9306722689076,0.0238488902249612
"61",-1,1.13953488372093,0.212624444444444,72,0.0138888888888889
"62",-1,1.09157509157509,0.22792,72,0.0138888888888889
"63",-1,1.12891986062718,0.218350888888889,72,0.0138888888888889
"64",-1,1.12,0.223030133333333,72,0.0138888888888889
"65",-1,1.09489051094891,0.227088355555556,72,0.0138888888888889
"66",-1,1.07773851590106,0.199450133333333,72,0.0138888888888889
"N",-3,1.09057971014493,0.201288044444444,72,0.0138888888888889
"56",-1,1.16129032258065,0.2182396,72,0.0138888888888889
"57",-1,1.14130434782609,0.2254428,72,0.0138888888888889
"58",-1,5.31768953068592,1.82109906666667,25.7332317073171,0.0388602570937741
"59",-1,1.13840830449827,0.224528888888889,72,0.0138888888888889
"60",-1,1.08214285714286,0.2301588,72,0.0138888888888889
"61",-1,1.15972222222222,0.2160496,72,0.0138888888888889
"62",-1,1.27173913043478,0.225442933333333,72,0.0138888888888889
"63",-1,1.1070110701107,0.226322311111111,72,0.0138888888888889
"64",-1,1.11228070175439,0.212085733333333,72,0.0138888888888889
"65",-1,1.09352517985612,0.217425911111111,72,0.0138888888888889
"66",-1,1.12121212121212,0.171717288888889,72,0.0138888888888889
